"...1","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
3756,4791194,"HM403711","01/01/2001 11:00:00 AM","114XX S ST LAWRENCE AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",TRUE,TRUE,531,5,9,50,"02",1182247,1829375,2001,"08/29/2006 03:46:28 AM",41.687020002,-87.60844523,"(41.687020002, -87.60844523)"
46554,4740930,"HM350304","09/19/2003 03:00:00 PM","059XX S MAY ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,712,7,16,68,"02",1169669,1865335,2003,"04/15/2016 08:55:02 AM",41.785980536,-87.653451443,"(41.785980536, -87.653451443)"
65205,4769404,"HM382132","01/01/2003 12:01:00 AM","052XX W CHICAGO AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","DAY CARE CENTER",FALSE,FALSE,1524,15,37,25,"02",1141461,1904831,2003,"04/15/2016 08:55:02 AM",41.894928829,-87.755903553,"(41.894928829, -87.755903553)"
67177,4892881,"HM488474","01/01/2001 12:01:00 AM","109XX S NORMAL AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",TRUE,FALSE,2233,22,34,49,"02",1174871,1832183,2001,"08/12/2006 04:03:08 AM",41.694892728,-87.635364292,"(41.694892728, -87.635364292)"
71683,4779310,"HM386747","01/10/2003 11:00:00 AM","133XX S BRANDON AVE","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","RESIDENCE",FALSE,FALSE,433,4,10,55,"02",1199440,1817101,2003,"04/15/2016 08:55:02 AM",41.652924602,-87.545915891,"(41.652924602, -87.545915891)"
152752,4908440,"HM525021","01/01/2003 12:00:00 AM","024XX W JACKSON BLVD","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,TRUE,1125,11,2,28,"02",1160211,1898628,2003,"04/15/2016 08:55:02 AM",41.87754033,-87.687211083,"(41.87754033, -87.687211083)"
239284,5190122,"HM779435","01/01/2001 12:01:00 AM","064XX S EVANS AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,FALSE,312,3,20,42,"02",1182290,1862306,2001,"08/02/2009 01:04:05 AM",41.777385501,-87.607270854,"(41.777385501, -87.607270854)"
376661,5450711,"G541602","09/09/2001 07:19:32 PM","073XX S CAMPBELL AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,835,8,18,66,"02",1160935,1856101,2001,"05/03/2007 07:26:52 AM",41.760826191,-87.685729607,"(41.760826191, -87.685729607)"
406563,5508664,"HN320275","01/01/2001 12:00:00 AM","009XX N HARDING AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,TRUE,1112,11,27,23,"02",1149843,1906023,2001,"06/11/2007 03:52:33 PM",41.898040875,-87.725087394,"(41.898040875, -87.725087394)"
411417,5518724,"HN334158","06/17/2001 10:00:00 AM","021XX N CALIFORNIA AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",FALSE,TRUE,1414,14,35,22,"02",1157304,1914473,2001,"06/04/2007 01:38:54 AM",41.921079951,-87.697453621,"(41.921079951, -87.697453621)"
